YHR123W	YPL246C
YKL068W	YMR047C
YJR010C-A	YML055W
YBL029C-A	YKL051W
YGR284C	YGR284C
YNL255C	YNL112W
YKL181W	YKL181W
YDR497C	YLR332W
YER006W	YGL029W
YPL091W	YPL091W
YLL001W	YML086C
YGL012W	YHR133C
YBR244W	YPL058C
YGL040C	YGL040C
YBR207W	YEL051W
YLR432W	YML056C
YER112W	YPR129W
YDR189W	YPL246C
YIL034C	YIL062C
YLR083C	YFR051C
YOR323C	YOR323C
YLR350W	YNL190W
YDR100W	YDR238C
YDR032C	YML016C
YGR281W	YKL051W
YDR434W	YHR188C
YGR060W	YPL246C
YKL088W	YOR054C
YHR039C	YLR350W
YDR100W	YML018C
YDL192W	YDR264C
YLR370C	YMR109W
YIR038C	YJL151C
YKL004W	YFR051C
YBL029C-A	YBR244W
YMR272C	YBR106W
YHR072W	YBR002C
YML086C	YGR082W
YGL203C	YOR104W
YDR497C	YPL058C
YAL053W	YER145C
YGR284C	YML031W
YOR095C	YOR095C
YCR043C	YPL246C
YOR109W	YGL206C
YDL192W	YDR100W
YGR130C	YOR273C
YDR293C	YGR054W
YLL043W	YLL043W
YBR106W	YPL094C
YNL265C	YNL265C
YGR005C	YMR140W
YDL029W	YBR234C
YBL029C-A	YLL028W
YKL067W	YKL067W
YBR106W	YPR113W
YDR501W	YPL058C
YHR175W	YJL178C
YJL061W	YMR047C
YOR069W	YOR132W
YDR100W	YDR100W
YIL027C	YPR113W
YOR109W	YHR108W
YBL011W	YBR002C
YMR250W	YMR250W
YGR105W	YEL051W
YGL178W	YKL054C
YDR497C	YDR497C
YDR034W-B	YLL028W
YNL288W	YNL288W
YDL224C	YNL288W
YBR207W	YJL154C
YGL049C	YOR204W
YHR094C	YPL058C
YMR120C	YMR120C
YBR068C	YPL265W
YBL039C	YLR027C
YGR060W	YML016C
YHR170W	YPR016C
YDR032C	YKL051W
YER145C	YPL221W
YGR284C	YOR165W
YAR002C-A	YOR165W
YGR065C	YLR413W
YDR032C	YLR237W
YGR065C	YLR332W
YLR025W	YLR181C
YCR093W	YDL160C
YKL096W-A	YML086C
YER056C	YJL192C
YPR113W	YIL124W
YHR089C	YLR449W
YBL068W	YKL181W
YDL192W	YNR028W
YBR207W	YER166W
YLR028C	YLR028C
YDL135C	YPR156C
YMR149W	YPL265W
YDR329C	YOL147C
YGL011C	YOR362C
YGL203C	YER145C
YBR207W	YDR352W
YGL153W	YNL214W
YIR037W	YML086C
YGL023C	YKR007W
YCR030C	YOR181W
YGR106C	YOR270C
YOR326W	YOR326W
YKR048C	YLR133W
YDR032C	YML072C
YBL017C	YOR069W
YCR093W	YNR052C
YGL099W	YPR016C
YHR072W	YJL151C
YGR106C	YLR447C
YBL017C	YBL017C
YJR076C	YJR076C
YER063W	YNL112W
YGR284C	YFR051C
YMR272C	YHR039C
YDL222C	YGR138C
YER068W	YNL197C
YLR258W	YLR258W
YMR312W	YPL101W
YBR130C	YBR130C
YBR023C	YFR051C
YGR060W	YPL227C
YDR297W	YLR350W
YAL041W	YBR200W
YDR398W	YJL109C
YML012W	YPR113W
YDL204W	YDL204W
YGR105W	YGR106C
YKL078W	YNL186W
YGR178C	YHR121W
YDR264C	YIL048W
YER099C	YKL181W
YHR158C	YHR158C
YPL004C	YPL221W
YBR207W	YDL199C
YDR068W	YDR100W
YDR264C	YFR051C
YPL004C	YGR169C-A
YBR177C	YJL151C
YDL192W	YPL246C
YDL192W	YPR156C
YGL203C	YGR020C
YKR007W	YML121W
YKL013C	YNR035C
YML012W	YPL186C
