Condition	Tag	PPI.long	PPI.short	Gene.1	Gene.2	ORF.1	ORF.2	FC (UP-tag)	q-val (UP-tag)	FC (DN-tag)	q-val (DN-tag)
FK506	TM_1337	HOM3_F1::FPR1_F3	HOM3:FPR1	HOM3	FPR1	YER052C	YNL135C	-0.930653612827538	7.08225678780323e-06	-0.810763185108302	6.54171460214603e-05
FK506	TM_3391	DID4_F1::DID4_F3	DID4:DID4	DID4	DID4	YKL002W	YKL002W	-0.275086338527231	0.00152346148670845	-0.42066037013478	0.00329964882374394
FK506	TM_3506	VPS24_F1::VPS24_F3	VPS24:VPS24	VPS24	VPS24	YKL041W	YKL041W	-1.74993002964822	3.3999529877528e-05	-1.19517142928945	6.54171460214603e-05
FK506	TM_0127	ERG25_F1::ORM2_F3	ERG25:ORM2	ERG25	ORM2	YGR060W	YLR350W	-0.286598543185404	0.00277888682647653	-0.488906966284802	0.000740772070365623
FK506	TM_0075	FLC2_F1::PIN2_F3	FLC2:PIN2	FLC2	PIN2	YAL053W	YOR104W	-0.304070012401398	0.00421364814094538	-0.386352000146189	0.00848838364828831
FK506	TM_0006	RCN1_F1::CNB1_F3	RCN1:CNB1	RCN1	CNB1	YKL159C	YKL190W	-0.351865955057507	0.000866742040801705	-0.412904615191138	0.00116778139941772
FK506	TM_0201	TSC10_F1::SNA3_F3	TSC10:SNA3	TSC10	SNA3	YBR265W	YJL151C	-0.594353679026728	0.0145139182602165	-0.361575626580127	0.0271476508950677
FK506	TM_0866	MUP1_F1::FLC1_F3	MUP1:FLC1	MUP1	FLC1	YGR055W	YPL221W	-0.29520036749787	0.00812921468347857	-0.434445125983155	0.00332189173541857
FK506	TM_4060	ERG25_F1::PHO88_F3	ERG25:PHO88	ERG25	PHO88	YGR060W	YBR106W	-0.362783314825968	0.00277888682647653	-0.308046489906815	0.00576782323534619
FK506	TM_0251	PST2_F1::FLC1_F3	PST2:FLC1	PST2	FLC1	YDR032C	YPL221W	-0.32319164158832	0.00245784616566138	-0.309303936065971	0.00536195605587364
FK506	TM_0347	WHI3_F1::PUB1_F3	WHI3:PUB1	WHI3	PUB1	YNL197C	YNL016W	-0.329411774346326	0.00114278240673794	-0.271031905712627	0.00572787471038746
FK506	TM_0378	YBL029C-A_F1::MUP1_F3	YBL029C-A:MUP1	YBL029C-A	MUP1	YBL029C-A	YGR055W	-0.316008820072785	0.00416221970958207	-0.602098146626085	0.000986650984417709
FK506	TM_1153	PHO88_F1::SEC62_F3	PHO88:SEC62	PHO88	SEC62	YBR106W	YPL094C	-0.478737221839756	0.0111786221881158	-0.258937126114697	0.0395963601137766
FK506	TM_0509	KEX1_F1::ARF1_F3	KEX1:ARF1	KEX1	ARF1	YGL203C	YDL192W	-0.578337326815284	0.00194350487744418	-0.290358598232981	0.00610658267673294
FK506	TM_0499	VHT1_F1::MID2_F3	VHT1:MID2	VHT1	MID2	YGR065C	YLR332W	-0.36215200343722	0.014315783367567	-0.258078236994937	0.0468689149449887
FK506	TM_0408	FLC2_F1::DFG5_F3	FLC2:DFG5	FLC2	DFG5	YAL053W	YMR238W	-0.286748527934922	0.0158102146294788	-0.405864670423847	0.00572787471038746
FK506	TM_1248	FLC2_F1::WSC2_F3	FLC2:WSC2	FLC2	WSC2	YAL053W	YNL283C	-0.474006565264478	0.0043760366827183	-0.42856858992303	0.022878517761436
FK506	TM_0487	ERG25_F1::ERG3_F3	ERG25:ERG3	ERG25	ERG3	YGR060W	YLR056W	-0.870083485513426	0.0140678854063185	-0.889531625807082	0.0395963601137766
FK506	TM_0760	ARF1_F1::RET2_F3	ARF1:RET2	ARF1	RET2	YDL192W	YFR051C	-0.260448407058709	0.0228840969476634	-0.347029424186145	0.0459290615550945
